listing_id,title,neighborhood,bedrooms,bathrooms,size_sqft,property_type,annual_rent,amenities,furnished,agent_name,posting_date,has_metro,beach_accessible
13075475,Discovery Gardens Zen Cluster Gem | 1 Bed | Vac. . .,Discovery Gardens,4,5,2384,1BR,70000,,Unfurnished,Find my Agent,2025-11-23,Unknown,Unknown
12426706,ELEGANT 1 BEDROOM APARTMENT FOR RENT,Discovery Gardens,2,2,1477,1BR,68000,,Unfurnished,Find my Agent,2025-11-23,Unknown,Unknown
13261627,FULLY-FURNISHED | NEAR TO POOL | BEST PRICE,Discovery Gardens,2,3,1307,2BR,78000,,Unfurnished,Find my Agent,2025-11-23,Unknown,Unknown
12050792,UPGRADED 1BHK CLOSE TO METRO,Discovery Gardens,2,3,1169,2BR,67000,,Unfurnished,Find my Agent,2025-11-23,Unknown,Unknown
13472300,BEAUTIFUL 1 BHK FLAT// READY TO MOVE IN //DISCOVERY GARDEN//WITH GREEN SURROUNDING// 979.52 SQ FEET//.,Discovery Gardens,1,2,969,1BR,72000,,Unfurnished,Find my Agent,2025-11-23,Unknown,Unknown
13376407,Well-Maintained 1BHK with Balcony //Prime location- Discovery Gardens,Discovery Gardens,1,2,877,1BR,75000,,Unfurnished,Find my Agent,2025-11-23,Unknown,Unknown
13165292,Exclusive Brand New | Luxury | Sea & Community Views | Prime Location,Deira,1,2,945,1BR,113000,,Unfurnished,Find my Agent,2025-11-23,Unknown,Unknown
13114082,2 Months Free | Exclusive Brand New | Community Views | Prime Location,Deira,1,2,1123,1BR,119998,,Unfurnished,Find my Agent,2025-11-23,Unknown,Unknown
13030603,2 BHK | CHILLER FREE,Deira,2,3,980,2BR,110000,,Unfurnished,Find my Agent,2025-11-23,Unknown,Unknown
13242488,"Offer 10% Disscount | Net AED 112,500 | Luxury | Sea & Community Views | Prime Location",Deira,1,2,979,1BR,119999,,Unfurnished,Find my Agent,2025-11-23,Unknown,Unknown
12962743,Offer + 10% Disscount | Exclusive Brand New | Luxury | Sea & Community Views | Prime Location,Deira,2,3,1180,2BR,126499,,Unfurnished,Find my Agent,2025-11-23,Unknown,Unknown
13155334,VACANT | 2BEDROOM | PRIME LOCATION,Motor City,2,3,1044,2BR,120000,,Unfurnished,Find my Agent,2025-11-23,Unknown,Unknown
13288761,Huge Room size Balcony | Large size Rooms | Gated community,Motor City,2,3,1229,2BR,115000,,Unfurnished,Find my Agent,2025-11-23,Unknown,Unknown
13352927,Spacious 2BR Corner Unit with Open View,Motor City,2,3,1124,2BR,105000,,Unfurnished,Find my Agent,2025-11-23,Unknown,Unknown
